Title(s)	Developer	Publisher	NA	PAL	JP
Thor: Seireioukiden (JP)|The Legend of Oasis (NA)|The Story of Thor 2 (EU)	Ancient	Sega	1996	1996	1996
Linkle Liver Story					
Loaded	Gremlin Interactive	Interplay	1996		
The Lost Vikings 2	Beam Software	Interplay	1997		
Lunacy	System Sacom	Atlus	1997		
Lunar: Silver Star Story Complete	Game Arts|Japan Art Media	Kadokawa Shoten|ESP			1996
Lunar 2: Eternal Blue Complete	Game Arts|Japan Art Media	Kadokawa Shoten|ESP			1998
Machi					
Madden NFL 97	Electronic Arts	Electronic Arts	1996		
Madden NFL 98	Electronic Arts	Electronic Arts	1997		
Madou Monogatari					
Magic Carpet	Krisalis Software	Electronic Arts	1996		
Magic Knight Rayearth	Sega	Working Designs	1998		
Magic School Lunar!					
Mansion of Hidden Souls	System Sacom	Sega	1995		
Manx TT SuperBike	Tantalus Interactive	Sega	1997		
Maria: Kimitachi ga Umareta Wake	Axela	Break			1997
Marvel Super Heroes	Tsuji Jimusho	Capcom	1997		
Marvel Super Heroes vs. Street Fighter					
Mass Destruction	NMS Software	ASC Games	1997		
Masters Harukanaru Augusta 3					
Maximum Force	Tantalus Software	Midway	1997		
MechWarrior 2: 31st Century Combat	Quantum Factory	Activision	1997		
Mega Man 8: Anniversary Collector's Edition	Capcom	Capcom	1997		
Mega Man X3	Capcom	Capcom JP|Virgin Interactive EU	Unreleased	1997	1996
Mega Man X4	Capcom	Capcom	1997	Unreleased	1997
Metal Black	Taito	Ving			1996
Metal Slug: Super Vehicle-001					
Mighty Hits					
Minnesota Fats: Pool Legend	Data East	Data East	1995	Unreleased	1995
Mizubaku Daibouken	Taito	Ving			1998
Mobile Suit Gundam					
Mobile Suit Z Gundam: Kouhen					
Mobile Suit Z Gundam: Zenpen					
Mobile Suit Gundam: Gihren's Greed					
Mobile Suit Gundam Side Story: The Blue Destiny Vol. 1					
Mobile Suit Gundam Side Story: The Blue Destiny Vol. 2					
Mobile Suit Gundam Side Story: The Blue Destiny Vol. 3					
Mortal Kombat II	Probe Entertainment	Acclaim	1996	1996	1996
Mortal Kombat Trilogy	Point of View	Midway	1997	1998	
Mr. Bones	Zono, Inc	Sega	1996		
My Dream: On Air ga Matenakute	Nihon Create	Nihon Create	Unreleased	Unreleased	1997
Myst	SunSoft	Acclaim	1995		
Mystaria					
Nanatsu Kaze no Shima Monogatari					
NASCAR 98	Electronic Arts	Electronic Arts	1997		
NBA Action '96	Gray Matter	Sega	1996		
NBA Action '98	Visual Concepts	Sega	1997		
NBA Jam Extreme	Sculptured Software	Acclaim	1996		
NBA Jam T.E.	Midway	Acclaim	1995		
NBA Live '97	Realtime Associates	Midway	1997		
NBA Live '98	Realtime Associates	Electronic Arts	1997		
The Need for Speed	Pioneer Productions	Electronic Arts	1996		
Next King: Koi no Sennen Oukoku					
NFL '97	Padded Cell Studios	Sega	1996		
NFL Quarterback Club '96	Iguana Entertainment	Acclaim	1995		
NFL Quarterback Club '97	Iguana Entertainment	Acclaim	1996		
NHL '97	Visual Concepts	Sega	1996		
NHL '98	Electronic Arts	Electronic Arts	1997		
NHL All-Star Hockey	Gray Matter	Sega	1995		
NHL All-Star Hockey '98	Radical Entertainment	Sega	1997		
NHL Powerplay '96	Radical Entertainment	Virgin Interactive	1996		
Nights into Dreams...	Sonic Team	Sega	1996		
Night Striker S	Taito & Fill-in-Cafe	Taito & Ving			1996
Night Warriors: Darkstalkers' Revenge	Capcom	Capcom	1996		
Nonomura Byouin no Hitobito					
Off-World Interceptor Extreme	Crystal Dynamics	Crystal Dynamics	1995		
Olympic Soccer: Atlanta 1996	Silicon Dreams	U.S. Gold	1996		
Out Run	Sega AM2	Sega			1996
P.T.O.: Pacific Theater of Operations II	Koei	Koei	1996		1996
Pandemonium	Toys for Bob	Bandai	1997		
Panzer Dragoon	Team Andromeda	Sega	1995		
Panzer Dragoon II Zwei	Team Andromeda	Sega	1996		
Panzer Dragoon Saga	Team Andromeda	Sega	1998		
Pebble Beach Golf Links	T&E Soft	Sega	1995	1995	1995
PGA Tour 97	VAC	EA Sports	1996		
Phantasmagoria					
Phantasy Star Collection					
Pia Carrot e Youkoso!					
Pocket Fighter					
Policenauts					
Powerslave/Exhumed|Seireki 1999: Pharaoh no Fukkatsu (JP)	Lobotomy Software	Playmates	1996		
Primal Rage	Probe Entertainment Limited	Time Warner Interactive	1995		
Princess Crown					
Princess Maker 2					
Princess Quest					
Pro Pinball: The Web	Cunning Developments	Interplay	1996		
Pro Yakyuu: Greatest Nine '98					
Purikura Daisakusen					
Puyo Puyo 2					
Puyo Puyo Sun					
Quake	Lobotomy Software	Sega	1997		
Quantum gate					
Quarterback Attack with Mike Ditka	Digital Pictures	Digital Pictures	1995		
Radiant Silvergun	Treasure	ESP			1998
Rampage World Tour	Point of View	Midway	1997		
Rayman	Ubisoft Montpellier	Ubisoft	1995		
Real Bout Fatal Fury	SNK	SNK			
Real Bout Fatal Fury Best Collection	SNK	SNK			
Real Bout Fatal Fury Special	SNK	SNK			1997
Real Sound: Kaze no Regret	WARP	Sega			1997
Resident Evil|Biohazard (JP)	Capcom	Capcom	1997		
Return to Zork					
Revolution X	Software Creations	Acclaim	1996		
Rise 2: Resurrection	Mirage Media	Acclaim	1996		
Riven	Cyan	Enix (JP)|Sega (EU)		1997	
Road Rash	Electronic Arts	Electronic Arts	1996		
Robo Pit	Altron	Kokopeli Digital Studios	1996		
Robotica	Micronet	Acclaim	1995		
Romance of the Three Kingdoms IV: Wall of Fire|Sangokushi IV (JP)	Koei	Koei	1995		
Ronde	Multimedia Intelligence Transfer	Atlus			1997
Roommate		Datam Polystar			
Roommate 3: Ryoko	Datam Polystar				
Roommate Inoue Ryoko: Complete Box	Datam Polystar	Datam Polystar			2000
Roommate: Ryoko in Summer Vacation	Datam Polystar	Datam Polystar			1997
Roommate W: Futari	Datam Polystar	Datam Polystar			
Ruriiro no Yuki	Ail-Soft	KID			1998
Ryougae Puzzle Game Moudjiya	FPS	Virgin Interactive Entertainment			1996
Ryouko Inoue Chatting Room					
Sakura Taisen					
Sakura Taisen 2					
Salamander Deluxe Pack Plus	Konami	Konami			1997
Samurai Shodown III: Blades of Blood	SNK	SNK			
Samurai Shodown IV: Amakusa's Revenge	SNK	SNK			
Saturn Bomberman	Hudson	Sega	1997		
Scorcher	Zyrinx	Sega	1996		
The Scottish Open: Carnoustie Virtual Golf					
Scud: The Disposable Assassin	Syrox Developments	SegaSoft	1997		
Sea Bass Fishing	Victor Entertainment	Victor Entertainment		1996	1996
SeaBass Fishing 2	Victor Soft	A-Wave			1997
Sega Ages Volume 1	Sega	Working Designs	1997		
Sega Rally Championship	Sega AM3	Sega	1995		
Sega Screams Volume 1					
Sega Touring Car Championship	Sega AM3	Sega	1997		
Sega Worldwide Soccer '97	Sega	Sega	1996		
Sega Worldwide Soccer '98	Sega	Sega	1998		
Segata Sanshiro Shinkenyugi					
Sexy Parodius					
Shanghai: Triple Threat	Activision	Activision	1995		
Shellshock	Core Design Ltd.	U.S. Gold	1995		
Shienryu	Warashi	Warashi			1997
Shining Force III	Camelot Software Planning	Sega	1998		
Shining the Holy Ark	Sega	Sega	1997		
Shining Wisdom	Sonic! Software Planning	Working Designs	1995		
Shin Megami Tensei: Devil Summoner	Atlus	Atlus			1995
Shinobi Legions	TOSE	Vic Tokai	1995		
Shinseiki Evangelion: 1st Impression					
Shinseiki Evangelion: 2nd Impression					
Shinseiki Evangelion: Koutetsu no Girlfriend					
Shockwave Assault	Paradox Development	Electronic Arts	1996		
Silhouette Mirage					
SimCity 2000	Maxis	Maxis	1995		
Skeleton Warriors	Neversoft Entertainment	Playmates	1996		
Skull Fang Ku-u-ga Gaiden					
Sky Target	Appaloosa Interactive	Sega	1997		
Slam 'n Jam '96 Featuring Magic & Kareem	Left Field Productions	Crystal Dynamics	1996		
Slayers Royal					
Slayers Royal 2					
Snatcher	Konami	Konami			1996
Soccer RPG: Become the coach for the national team!					
Solar Eclipse (NA)|Titan Wars (EU/JP)	Crystal Dynamics	Crystal Dynamics (NA)|BMG Entertainment (EU/JP)	1995	1996	1996
Solo Crisis					
Soldnerschild					
Sonic 3D Blast|Sonic 3D Flickies' Island	Traveller's Tales	Sega	1996	1997	1999
Sonic Jam	Sonic Team	Sega	1997	1997	1997
Sonic R	Traveller's Tales	Sega	1997	1997	1997
Soukyugurentai	Raizing	Electronic Arts			1997
Sound Novel Tsukūru 2	ASCII	ASCII			1997
Soviet Strike	Electronic Arts	Electronic Arts	1996		
Space Harrier					
Space Hulk: Vengeance of the Blood Angels	Krisalis Software	Electronic Arts	1996		
Space Invaders					
Space Jam	Sculptured Software	Acclaim	1996		
Spot Goes To Hollywood	Burst Studios	Virgin Interactive	1996		
Star Bowling, The	Four Winds Software Inc.|Chameleon House	Yumedia|Aroma Co., Ltd.	Unreleased	Unreleased	1997
Star Bowling Vol.2, The	Four Winds Software Inc.|Chameleon House	Yumedia|Aroma Co., Ltd.	Unreleased	Unreleased	1998
Star Fighter	Krisalis Software	Acclaim	1996		
Steam Hearts					
SteamGear Mash	Tamsoft	Takara	1995		
Steep Slope Sliders	Cave	Acclaim	1997		
Street Fighter Alpha	Capcom	Capcom	1996		
Street Fighter Alpha 2	Capcom	Capcom	1996		
Street Fighter Alpha 3	Capcom	Capcom			1999
Street Fighter Collection	Capcom	Capcom	1997		
Street Fighter: The Movie	Capcom	Acclaim	1995		
Street Racer					
Strikers 1945					
Strikers 1945 II					
Striker '96	Rage Software	Acclaim	1996		
Suikoden					
Super Adventure Rockman					
Super Puzzle Fighter II Turbo	Capcom	Capcom	1997		
Super Robot War F					
Super Robot War F Final					
Swagman					
Sword & Sorcery	Microcabin	Microcabin|Satakore (re-release)			1995
Tactical Fighter	Media Rings	Media Rings			1997
Tactics Ogre					
Tadaima Wakusei Kaitakuchuu!	Altron	Altron			1995
Tama					
Tamagotchi Park					
Tenant Wars	KID	KID			1998
Tempest 2000	High Voltage Software	Interplay	1996		
Tengai Makyou: Daiyon no Mokushiroku					
Ten Pin Alley	Adrenalin Interactive	ASC Games	1997		
Terra Phantastica	Sega	Sega|Satakore (re-release)			1996
Tetris Plus	Natsume	Jaleco Entertainment	1996		
Tetris S					
Theme Park	Krisalis Software	Electronic Arts	1995		
