Title	Developer(s)	Publisher(s)	Japan	Europe	North America	Notes
Grand Slam	Burst Studios	Virgin Interactive	Unreleased	Unreleased	1997-04-30	
Grand Theft Auto	DMA Design	BMG Interactive|ASC Games	1999-04-27	1997-12-14	1998-06-30	
Grand Theft Auto 2	DMA Design	Rockstar Games	Unreleased	1999-10-22	1999-10-25	
Grand Theft Auto: London 1969	Rockstar Canada	Rockstar Games	Unreleased	1999-04-29	1999-04-29	
Gran Turismo	Polyphony Digital	Sony Computer Entertainment	1997-12-23	1998-05-08	1998-05-12	
Gran Turismo 2	Polyphony Digital	Sony Computer Entertainment	1999-12-11	2000-01-28	1999-12-23	
GT Kai: All Japan Grand Touring Car Championship	Kaneko	Kaneko	1996-02-23	Unreleased	Unreleased	
GT Max Rev.: All Japan Grand Touring Car Championship	Kaneko	Kaneko	1997-02-28	Unreleased	Unreleased	
The Granstream Saga	Shade	JP :  SCEI  NA :  THQ  PAL :  ARC Entertainment	1997-11-06	1998-06-30	1999-02-26	
Grid Runner	Radical Entertainment	Virgin Interactive	Unreleased	Unreleased	1996-10-31	
The Grinch	Artificial Mind and Movement	Konami	Unreleased	2000-12-08	2000-01-01	
Grind Session	Shaba Games	SCEA	Unreleased	2000-08-25	2000-04-29	
Grudge Warriors	Take-Two Interactive	Tempest Software	Unreleased	Unreleased	2000-06-05	
Guardian of Darkness, The	Cryo Interactive	Cryo Interactive	Unreleased	1999	Unreleased	
Guardian's Crusade	Tamsoft	Tamsoft JP|Activision PAL,NA	1998-09-23	1999-03-29	1999-01-31	
Gubble	Mad Duck Productions	Mad Duck Productions, Midas Interactive Entertainment	1998-09-17	2001-04-12	2002-06-01	
Guilty Gear	Arc System Works	Atlus	1998-05-14	2000-05-01	1998-10-31	
Gundam: Battle Assault	Natsume	Bandai	Unreleased	Unreleased	2000-11-06	
Gundam: Battle Assault 2	Natsume	Bandai	Unreleased	Unreleased	2002-07-17	
Gunfighter: The Legend of Jesse James	Natsume	Bandai	Unreleased	2001-12-07	2001-11-30	
Gunship	MicroProse	MicroProse	Unreleased	Unreleased	1996-07-03	
The Gun Shooting	Nekogumi	D3Publisher	1999-12-09	Unreleased	Unreleased	
The Gun Shooting 2	AMS	D3Publisher	2001-03-31	Unreleased	Unreleased	
Hai-Shin 2	Square	Square	1998-03-26	Unreleased	Unreleased	
Happy Diet	Datam Polystar		2001-04-26	Unreleased	Unreleased	
Hardball '99	Mindspan	Accolade	Unreleased	Unreleased	1998-10-31	
Hardball 5	SPS	SPS	Unreleased	Unreleased	Unreleased	
Hard Boiled	Cryo Interactive|Sieg	Cryo Interactive, Sieg	1998-07-30	1997-10-01	Unreleased	
Harmful Park ?	Sky Think Systems	Sky Think Systems	1997-02-14	Unreleased	Unreleased	
Harry Potter and the Chamber of Secrets	Argonaut Games	EA Games|Electronic Arts|Electronic Arts Victor	2002-11-23	2002-11-15	2002-11-14	
Harry Potter and the Philosopher's Stone	Argonaut Games	Electronic Arts|Electronic Arts|Electronic Arts Victor	2001-12-01	2001-11-16	2001-11-15	
Harukaze Sentai V-Force	Ving	Ving	1996-11-15	Unreleased	Unreleased	
Harvest Moon: Back To Nature	Victor Interactive Software	Victor Interactive Software, Natsume|Ubisoft	1999-12-16	2001-01-26	2000-11-22	
Haunted Junction: Seitokai Badge wo Oe!	MediaWorks	MediaWorks	1997-01-17	Unreleased	Unreleased	
HBO Boxing	Osiris Studios	Acclaim	Unreleased	2001-02-16	2000-11-20	
Heart of Darkness	Amazing Studios	Ocean Software|Interplay|Infogrames	Unreleased	1998-07-01	1998-07-31	
Heaven's Gate	Atlus Co.	Atlus Co., JVC Digital Studios	1996-12-13	1997-10-01	Unreleased	
Hebereke's Popoitto PAL|Hebereke Station Popoitto JP	Sunsoft	Sunsoft	1996-03-01	1995-05-26	Unreleased	
Hellboy: Asylum Seeker	DreamCatcher Interactive	DreamCatcher Interactive, Wanadoo Edition	Unreleased	Unreleased	2004-04-04	
Hellnight|Dark Messiah JP	Atlus Co.	Atlus Co., Konami	1998-06-11	1999-12-30	Unreleased	
Hello Kitty's Cube Frenzy [187]	Culture Publishers	Culture Publishers, NewKidCo	1998-06-25	Unreleased	1999-03-31	
Hello Kitty: Cute de Cute [187]	Culture Publishers	Culture Publishers, NewKidCo	1998-06-25	Unreleased	1999-03-31	
Herc's Adventures	LucasArts	LucasArts, Virgin Interactive|Bullet Proof Software	1998-06-25	1997-12-01	1997-07-31	
Hermie Hopperhead	SCEI	SCEI	1995-09-29	Unreleased	Unreleased	
HeXen	Raven Software	GT Interactive|GameBank	1998-03-19	1997-03-01	1997-06-30	
Hi-Octane	Bullfrog Productions	Electronic Arts|Electronic Arts Victor	1996-01-13	1995-12-01	1995-12-29	
Hidden & Dangerous	Illusion Softworks	Take-Two Interactive	Unreleased	2001-11-23	Unreleased	
High Heat Baseball 2000	Team .366	The 3DO Company	Unreleased	Unreleased	1999-03-31	
High Heat Major League Baseball 2002	The 3DO Company	The 3DO Company	Unreleased	Unreleased	2001-03-14	
Himiko-Den Renge	Chime	Hakuhodo	1999-03-11	Unreleased	Unreleased	
The Hive	Trimark	Trimark	Unreleased	Unreleased	1996-01-01	
Hogs of War	Infogrames	Infogrames (Original & Best Of Infogrames Re-Release), Zoo Digital	Unreleased	2000-09-05	2000-09-05	
Hokuto no Ken	Banpresto	Banpresto	1996-08-30	Unreleased	Unreleased	
Hokuto no Ken: Seiki Matsukyu Seishi Densetsu	Bandai	Bandai	2000-10-26	Unreleased	Unreleased	
Home Doctor	Datam Polystar	Success	1997-11-13	Unreleased	Unreleased	
The Hoobs (Jim Henson's The Hoobs)	SCEE	SCEE	Unreleased	2002-06-07	Unreleased	
Hooters Road Trip	Hoplite Research	Ubisoft	Unreleased	Unreleased	2002-03-26	
Hoshigami: Ruining Blue Earth	Max Five	Atlus Co.|Max Five	2002-02-07	Unreleased	2001-12-20	
Hot Shots Golf	Camelot Corp.	SCEI|SCEA|SCEE	1997-07-17	1998-06-01	1998-04-30	
Hot Shots Golf 2	Clap Hanz	SCEI|SCEA|SCEE	1999-07-29	2000-04-19	2000-02-29	
Hot Wheels Extreme Racing	Atod AB	THQ	Unreleased	2001-10-12	2001-09-30	
Hot Wheels Turbo Racing	Stormfront Studios	Electronic Arts	Unreleased	1999-01-01	1999-08-31	
Hugo	ITE Media	ITE Media	Unreleased	2000-01-01	Unreleased	
Hugo 2	ITE Media	ITE Media	Unreleased	2000-04-01	Unreleased	
Hugo: Black Diamond Fever	ITE Media	ITE Media	Unreleased	2005-08-23	Unreleased	
Hugo: The Evil Mirror	ITE Media	ITE Media	Unreleased	1998-12-01	2003-01-01	
Hugo: Frog Fighter	ITE Media	ITE Media	Unreleased	2002-02-15	Unreleased	
Hugo: The Quest for the Sunstones	ITE Media	ITE Media	Unreleased	2000-11-03	Unreleased	
Hunter X Hunter: Maboroshi no Greed Island	Konami	Konami	2000-10-26	Unreleased	Unreleased	
Hunter X Hunter: Ubawareta Aura Stone	Konami	Konami	2001-09-27	Unreleased	Unreleased	
Hyakujuu Sentai GaoRanger	Bandai	Bandai	2001-11-29	Unreleased	Unreleased	
Hybrid	Vulcan Software	Midas Interactive Entertainment	Unreleased	2002-04-12	Unreleased	
Hydro Thunder	Blue Shift	Midway Games	Unreleased	2000-01-01	2000-02-29	
Hyouryuu Ki: The Reportage Beyond the Sea	KSS	KSS	1999-10-28	Unreleased	Unreleased	
Hyper Final Match Tennis JP|Hyper Tennis: Final Match PAL	Human Entertainment	Human Entertainment	1996-03-22	1996-11-15	Unreleased	
Hyper Formation Soccer	Human Entertainment	Human Entertainment	1995-10-13	Unreleased	Unreleased	
I.Q. Final|Kurushi Final: Mental Blocks PAL	SCEI	SCEI JP|SCEE PAL	1998-12-23	1999-08-01	Unreleased	
IHRA Drag Racing	Digital Dialect	Bethesda Softworks	Unreleased	Unreleased	2001-11-20	
Image Fight and X-Multiply	Irem	Xing Entertainment	1998-03-19	Unreleased	Unreleased	
Imadoki no Vampire: Bloody Bride	Jorudan	Atlus	1996-12-27	Unreleased	Unreleased	
Impact Racing	Funcom Dublin	JVC Musical Industries	Unreleased	1996-07-01	1996-09-30	
In Cold Blood	Revolution Software	Dreamcatcher Interactive NA|SCEE PAL	Unreleased	2000-07-14	2001-05-30	
Incredible Crisis	Polygon Magic	Titus Interactive PAL NA|Tokuma Shoten Publishing Co., Ltd JP	1999-06-24	2001-06-15	2000-11-06	
In the Hunt	Funcom Dublin	THQ	1995-11-10	1996-10-01	1996-03-01	
The Incredible Hulk: The Pantheon Saga	Attention To Detail	Eidos Interactive	Unreleased	1996-12-01	1997-02-28	
Independence Day	Radical Entertainment	Fox Interactive	Unreleased	1997-07-01	1997-02-28	
Indy 500	Tomy Corporation	JVC Digital Studios PAL|Tomy Corporation JP	1997-05-27	1998-04-01	Unreleased	
Infestation	Frontier Developments	Ubisoft	Unreleased	2000-09-01	Unreleased	
Initial D		Kodansha	1999-01-01	Unreleased	Unreleased	
Inspector Gadget: Gadget's Crazy Maze	Light & Shadow Productions|Vision Media Engineering	Ubisoft	Unreleased	2001-06-08	2001-08-15	
I.Q.: Intelligent Qube	SCEI	SCEE PAL|SCEI JP|SCEA NA	1997-01-31	1997-10-01	1997-09-30	
Intellivision Classic Games	Gray Matter	Activision	Unreleased	Unreleased	1999-09-30	
International Cricket Captain 2000	Empire Interactive	Empire Interactive	Unreleased	2000-11-03	Unreleased	
International Cricket Captain 2001 Ashes Edition	Empire Interactive	Empire Interactive	Unreleased	2001-08-24	Unreleased	
International Cricket Captain 2002	Empire Interactive	Empire Interactive	Unreleased	2002-05-24	Unreleased	
International Moto X	Graftgold	Time Warner Interactive PAL|Coconuts Japan JP	1996-09-27	1996-12-01	Unreleased	
International Superstar Soccer Deluxe	Konami	Konami	Unreleased	1997-02-01	Unreleased	
International Superstar Soccer Pro	Konami	Konami	1997-06-05	1997-06-01	1997-05-02	
International Superstar Soccer	Konami	Konami	Unreleased	2000-12-08	Unreleased	
International Superstar Soccer Pro 98|Winning Eleven 3 JP	Konami Computer Entertainment Tokyo	Konami	1998-11-12	1998-05-01	1998-08-11	
International Track & Field	Konami	Konami	Unreleased	Unreleased	1996-06-28	
International Track & Field 2000	Konami	Konami	2000-07-13	2000-01-01	1999-10-31	
Interplay Sports Baseball 2000	Interplay	Interplay	Unreleased	1999-11-01	1999-03-31	
InuYasha: A Feudal Fairy Tale	Dimps Corporation	Bandai	2002-12-05	Unreleased	2003-04-10	
Invasion	Microids	Microids	Unreleased	1999-02-01	Unreleased	
Invasion from Beyond ( B-Movie )	King of the Jungle	GT Interactive	Unreleased	1998-11-01	1998-11-30	
Iron and Blood	Take-Two Interactive	Acclaim	Unreleased	1996-11-01	1996-10-31	
Iron Man and X-O Manowar in Heavy Metal	Realtime Associates	Acclaim	1997-01-31	1996-11-01	1996-10-31	
Iron Soldier 3	Eclipse Software Design	Vatical Entertainment, Telegames	Unreleased	Unreleased	2000-06-20	
Irritating Stick	Jaleco Entertainment	Jaleco Entertainment	1998-03-19	Unreleased	1999-01-31	
iS - internal section	positron	Square Co., Ltd.	1999-01-28	Unreleased	Unreleased	
ISS Pro Evolution	Konami	Konami	Unreleased	1999-05-11	2000-06-06	
ISS Pro Evolution 2|World Soccer Jikkyou Winning Eleven 2000: U-23 Medal Heno Chousen JP	Konami Computer Entertainment Tokyo	Konami	2000-12-01	2001-03-23	Unreleased	
The Italian Job	Pixelogic	SCi PAL|Rockstar Games NA	Unreleased	2001-10-05	2002-01-01	
J's Racin'	TYO	Digital Frontier	1997-09-25	Unreleased	Unreleased	
J-League Jikkyou Winning Eleven 2000	Konami	Konami	2000-06-29	Unreleased	Unreleased	
J-League Jikkyō Winning Eleven 97	Konami	Konami	1996-11-22	Unreleased	Unreleased	
J-League Winning Eleven '98-'99	KCE Sapporo	Konami	1998-12-03	Unreleased	Unreleased	
Jackie Chan Stuntmaster	Radical Entertainment	SCEA NA|SCEE PAL	Unreleased	2000-01-01	2000-01-31	
Jade Cocoon: Story of the Tamamayu	Genki	Genki JP|Crave Entertainment NA|Ubisoft PAL	1998-12-03	1999-12-10	1998-11-30	
Jarrett & Labonte Stock Car Racing	Codemasters	Codemasters	Unreleased	Unreleased	2000-10-03	
James Pond 2: Codename: Robocod	Vectordean	Play It Ltd	Unreleased	2003-11-01	Unreleased	
Jeff Wayne's The War of the Worlds	Pixelogic	GT Interactive	Unreleased	1999-11-19	Unreleased	
Jeopardy!	Artech Studios	Hasbro Interactive	Unreleased	Unreleased	1998-01-01	
Jeopardy! 2	Artech Studios	Hasbro Interactive	Unreleased	Unreleased	2000-09-28	
Jeremy McGrath Supercross '98	Probe Entertainment	Acclaim	Unreleased	Unreleased	1998-05-31	
Jeremy McGrath Supercross 2000	Acclaim Entertainment	Acclaim Entertainment	Unreleased	2000-08-25	2000-07-14	
Jersey Devil	Behaviour Interactive	SCEA NA|Ocean Software PAL|Konami JP	1999-06-24	1997-12-01	1998-05-31	
Jet Ace		Phoenix Games	Unreleased	2004-11-15	Unreleased	
Jet Moto	SingleTrac|Locomotive Games	SCEA NA|SCEE PAL|SCEI JP	1997-08-07	1997-02-01	1996-10-31	
Jet Moto 2	SingleTrac	SCEA NA	Unreleased	1998-04-01	1997-10-31	
Jet Moto 3	SingleTrac	SCEA NA	Unreleased	Unreleased	1999-08-31	
Jet Racer		Midas Interactive	Unreleased	2001-04-12	Unreleased	
JGTC: All-Japan Grand Touring Car Championship		TYO	1998-06-18	Unreleased	Unreleased	
Jigsaw Madness	Nippon Ichi Software	XS Games	Unreleased	2003-06-27	2002-12-01	
Jikkyou Oshaberi Parodius: Forever With Me	Stone Heads	Konami	1996-12-20	Unreleased	Unreleased	
Jim Henson's Bear in the Big Blue House	DC Studios	Ubisoft	Unreleased	2002-12-13	2002-03-01	
Jimmy Johnson VR Football '98	Padded Cell Studios	Interplay	Unreleased	Unreleased	1997-09-01	
Jimmy White's 2: Cueball	Awesome Developments	Virgin Interactive	Unreleased	2000-04-07	2000-01-01	
Jinx	HammerHead, Ltd.	SCEE	Unreleased	2003-01-31	Unreleased	
JoJo's Bizarre Adventure	Capcom	Capcom	1999-10-14	2000-01-01	2000-03-31	
Johnny Bazookatone	U.S. Gold Ltd.	U.S. Gold Ltd.	1996-04-26	1996-01-01	1996-02-22	
Jonah Lomu Rugby	Codemasters	Rage Software	Unreleased	Unreleased	1997-03-31	
Judge Dredd	Gremlin Interactive	Activision	Unreleased	1997-11-01	1998-03-31	
Juggernaut	Jaleco Entertainment	Will	Unreleased	Unreleased	1999-09-30	
Jumping Flash!	Exact	Sony Computer Entertainment	1995-04-28	1995-09-29	1995-11-01	
Jumping Flash! 2	Exact	NA  Sony Computer Entertainment	1996-04-26	1996-10-01	1996-08-31	
JumpStart Wildlife Safari Field Trip	Dice	Knowledge Adventure Inc.	Unreleased	Unreleased	2001-10-19	
The Jungle Book Groove Party	Ubisoft	Ubisoft	Unreleased	Unreleased	2002-12-08	
Junior Sports Football	Humongous Entertainment	Infogrames	Unreleased	2001-11-23	Unreleased	
Jupiter Strike	Taito Corporation	PAL NA  Acclaim Entertainment|JP  Taito Corporation	1995-08-25	1995-12-01	1995-12-06	
K-1 The Arena Fighters	Daft	THQ	Unreleased	Unreleased	1997-02-28	
K-1 Grand Prix	Daft	Jaleco Entertainment	Unreleased	Unreleased	2000-01-25	
K-1 Revenge	Daft	Jaleco Entertainment	1997-09-11	Unreleased	1999-02-28	
K9.5: Live in Airedale	The Lightspan Partnership, Inc.	The Lightspan Partnership, Inc.	Unreleased	Unreleased	1997-01-01	
K9.5: The Hollywood Premiere	The Lightspan Partnership, Inc.	The Lightspan Partnership, Inc.	Unreleased	Unreleased	1997-01-01	
K9.5: The Tail-Wag Tour	The Lightspan Partnership, Inc.	The Lightspan Partnership, Inc.	Unreleased	Unreleased	1997-01-01	
K9.5: We are the Dogs	The Lightspan Partnership, Inc.	The Lightspan Partnership, Inc.	Unreleased	Unreleased	1997-01-01	
K9.5: WebTunes	The Lightspan Partnership, Inc.	The Lightspan Partnership, Inc.	Unreleased	Unreleased	1997-01-01	
Kaettekita Cyborg Kuro-Chan	Konami	Konami	2002-11-28	Unreleased	Unreleased	
Kaijuu Senki	Produce!	Produce!	1996-11-15	Unreleased	Unreleased	
The Kaiten: Mawasun Da!!	Taito Corporation	D3Publisher	2001-07-05	Unreleased	Unreleased	
Kagero: Deception 2	JP NA  Tecmo	JP NA Tecmo, PAL  Virgin Interactive	1998-07-23	1999-09-10	1998-10-14	
Kakuge-Yaro: Fighting Game Creator  Outback	Increment-P	2000-02-17	Unreleased	Unreleased		
Kamen Rider	KAZe	Bandai	1998-10-01	Unreleased	Unreleased	
Kamen Rider Agito	Kaze	Bandai	2001-11-29	Unreleased	Unreleased	
Kamen Rider Kuuga	Kaze	Bandai	2000-12-21	Unreleased	Unreleased	
Kamen Rider: The Bike Race	Highwaystar	Bandai	2001-10-25	Unreleased	Unreleased	
Kart Challenge	Interactive entertainment	Midas Interactive	Unreleased	2000-01-01	Unreleased	
Kartia: The Word of Fate|Rebus JP|Legend of Kartia PAL	Atlus|Konami PAL	Atlus|Konami PAL	1998-03-26	1999-12-25	1998-08-07	
Kattobi Tune	Genki	Genki	1998-04-23	Unreleased	Unreleased	
Kaze no Notam		Artdink	1997-09-11	Unreleased	Unreleased	
KazMania: Chaos in KazMania	The Lightspan Partnership, Inc.	The Lightspan Partnership, Inc.	Unreleased	Unreleased	1997-01-01	
KazMania: Trail of Gems	The Lightspan Partnership, Inc.	The Lightspan Partnership, Inc.	Unreleased	Unreleased	1997-01-01	
Kekkon: Marriage	West One	Shogakukan	1996-10-10	Unreleased	Unreleased	
Kensei: Sacred Fist	Konami	KCET	1998-11-19	1998-01-01	1998-11-30	
Kickboxing	Jorudan	Agetec Inc.	Unreleased	Unreleased	2002-03-01	
Kick Off World	Anco Software	Funsoft	Unreleased	1998-06-01	Unreleased	
Kidou Keisatsu Patlabor: Game Edition			2000-11-30	Unreleased	Unreleased	
Kidou Senshi Gundam: Giren no Yabou- Zeon no Keifu			2000-02-10	Unreleased	Unreleased	
Kikuni Masahiko: Warau Fukei-san Pachi-Slot Hunter		Forum	1994-12-09	Unreleased	Unreleased	
Kileak: The DNA Imperative	Genki	SCEA	1995-01-27	1995-09-29	1995-09-09	
Killer Loop	Crave Entertainment	VCC Entertainment	Unreleased	1999-11-09	1999-10-31	
Killing Zone	Scarab	Acclaim	Unreleased	Unreleased	1996-07-01	
King of Bowling 2	Coconuts Japan	Midas Interactive	1998-08-27	2000-09-01	Unreleased	
King of Bowling 3	DigiCube	Phoenix Games	Unreleased	2003-06-27	Unreleased	
The King of Fighters '95	SNK	SNK	Unreleased	Unreleased	1996-08-31	
The King of Fighters '96	SNK	SNK	Unreleased	Unreleased	1996-07-30	
The King of Fighters '97	SNK	SNK	1998-05-28	Unreleased	Unreleased	
The King of Fighters '98	SNK	SNK	1998-07-23	Unreleased	Unreleased	
The King of Fighters '99	SNK	SNK	Unreleased	Unreleased	2001-04-22	
The King of Fighters: Kyo	SNK	SNK	1998-11-27	Unreleased	Unreleased	
Kingsley's Adventure	Psygnosis	Psygnosis	Unreleased	1999-10-22	1999-10-07	
Hakai Ou: King of Crusher	FAB Communications	FAB Communications	1998-11-12	Unreleased	Unreleased	
King's Field	FromSoftware	FromSoftware	1994-12-16	Unreleased	Unreleased	
King's Field II JP|King's Field PAL,NA	FromSoftware	FromSoftware JP|ASCII Entertainment NA|SCEE PAL	1995-07-21	1996-01-01	1996-02-14	
King's Field III JP|King's Field II NA	FromSoftware	FromSoftware JP|ASCII Entertainment NA	1996-06-21	Unreleased	1996-10-31	
Kirikou	Étranges Libellules	Wanadoo	Unreleased	2001-11-09	Unreleased	
KISS Pinball	Wildfire Studios	Take-Two Interactive	Unreleased	Unreleased	2001-04-25	
Kisetsu wo Dakishimete			1990-01-01	Unreleased	Unreleased	
Kitchen Panic			1998-05-28	Unreleased	Unreleased	
KKND2: Krossfire	Krome Studios Melbourne	Krome Studios Melbourne	Unreleased	Unreleased	1998-10-31	
Klonoa: Door to Phantomile	Namco	Namco	1997-12-11	1998-06-05	1998-06-01	
Klonoa Beach Volleyball	Namco	Namco	2002-04-25	2002-09-20	Unreleased	
Knockout Kings 99	EA Sports	Black Ops Entertainment	Unreleased	Unreleased	1998-10-31	
Knockout Kings 2000	EA Sports	Black Ops Entertainment	Unreleased	1999-01-01	1999-10-31	
Knockout Kings 2001	EA Sports	Black Ops Entertainment	Unreleased	Unreleased	2000-10-30	
Konami Antiques MSX Collection Vol. 1	Konami	Konami	1997-11-20	Unreleased	Unreleased	
Konami Antiques MSX Collection Vol. 2	Konami	Konami	1998-01-22	Unreleased	Unreleased	
Konami Antiques MSX Collection Vol. 3	Konami	Konami	1998-03-19	Unreleased	Unreleased	
Konami Arcade Classics	Konami	Konami	Unreleased	Unreleased	1999-11-30	
Konami Open Golf	Konami	Konami	Unreleased	1996-11-01	Unreleased	
Kotetsu Reiki: Steeldom			1996-08-30	Unreleased	Unreleased	
Kotobuki Grand Prix			1999-04-08	2003-02-07	Unreleased	
Koudelka	Sacnoth	JP NA  SNK|Infogrames	1999-12-16	2000-09-29	1999-11-30	
Krazy Ivan	Psygnosis	Psygnosis	1996-10-04	1996-01-01	1996-02-15	
Kula World	Game Design Sweden AB	Psygnosis	1999-05-27	1998-07-01	1998-11-30	
Kula Quest	Game Design Sweden AB	Psygnosis	1999-05-27	Unreleased	Unreleased	
Kuroi Hitomi no Noir: Cielgris Fantasm (Noir Yuex Noire)			Unreleased	Unreleased	Unreleased	
Kurt Warner's Arena Football Unleashed	Midway	Midway	Unreleased	Unreleased	2000-05-18	
Kururin Pa!			1995-07-07	Unreleased	Unreleased	
Lagnacure			1997-10-02	Unreleased	Unreleased	
The Land Before Time: Big Water Adventure	Digital Illusions	TDK Mediactive	Unreleased	Unreleased	2002-11-27	
The Land Before Time: Great Valley Racing Adventure	Vision Scape	TDK Mediactive	Unreleased	Unreleased	2001-05-04	
The Land Before Time: Return to the Great Valley	Realtime Associates	Sound Source	Unreleased	Unreleased	2000-09-15	
Land Maker	Taito Corporation	Taito Corporation	1999-12-09	2000-09-30	Unreleased	
Langrisser I & II			1997-07-31	Unreleased	Unreleased	
Largo Winch.//Commando Sar			Unreleased	2002-09-06	2002-02-01	
Las Vegas Casino			Unreleased	Unreleased	Unreleased	
The Last Blade			1999-02-25	Unreleased	Unreleased	
Last Report			1998-08-06	1998-03-01	Unreleased	
Legacy of Kain: Soul Reaver	Crystal Dynamics	SCEA	Unreleased	1999-01-01	1999-08-16	
The Legend of Dragoon	SCEI	SCEA	Unreleased	Unreleased	2000-06-11	
Legend of Legaia	Contrail	SCEA	1998-10-29	2000-05-27	1999-03-17	
Legend of Mana|Seiken Densetsu: Legend of Mana JP	Square	JP Square|NA Square Electronic Arts	1999-07-15	Unreleased	2000-06-07	
Legend Of Mulan	The Code Monkeys	Phoenix Games	Unreleased	2003-01-01	Unreleased	
Legend of Pocahontas	The Code Monkeys	Midas Interactive	Unreleased	2002-04-12	Unreleased	
Lego Island 2: The Brickster's Revenge	Silicon Dreams Studio	Lego Media	Unreleased	Unreleased	2001-03-01	
Lego Racers	High Voltage Software	Lego	Unreleased	Unreleased	1999-12-17	
Lego Rock Raiders	Data Design Interactive	Lego Media	Unreleased	1990-01-01	2000-07-30	
Lemmings 3D|3D Lemmings PAL	Clockwork Games	Psygnosis|SCE Australia AU|SCEI JP	1996-11-08	1995-09-29	1995-11-21	
Lemmings & Oh No! More Lemmings	Psygnosis	Psygnosis	Unreleased	Unreleased	1998-01-01	
Lethal Enforcers I & II	Konami	Konami	1997-11-20	1997-11-20	1997-11-01	
